縣市別,性別,教育程度,教育程度比例,教育程度人口數,未婚率,未婚人口數
南投縣,女,大學及專科,0.3582,58111,0.3694,59929
南投縣,女,碩士以上,0.0444,7198,0.3694,59929
南投縣,女,高中及以下,0.5974,96912,0.3694,59929
南投縣,男,大學及專科,0.3115,56285,0.4201,75898
南投縣,男,碩士以上,0.0558,10089,0.4201,75898
南投縣,男,高中及以下,0.6326,114299,0.4201,75898
嘉義市,女,大學及專科,0.4447,43198,0.3836,37260
嘉義市,女,碩士以上,0.0753,7311,0.3836,37260
嘉義市,女,高中及以下,0.48,46620,0.3836,37260
嘉義市,男,大學及專科,0.4109,38446,0.4537,42449
嘉義市,男,碩士以上,0.0946,8852,0.4537,42449
嘉義市,男,高中及以下,0.4945,46261,0.4537,42449
嘉義縣,女,大學及專科,0.3532,54146,0.3833,58759
嘉義縣,女,碩士以上,0.0392,6002,0.3833,58759
嘉義縣,女,高中及以下,0.6076,93134,0.3833,58759
嘉義縣,男,大學及專科,0.2951,54754,0.4203,77984
嘉義縣,男,碩士以上,0.0477,8859,0.4203,77984
嘉義縣,男,高中及以下,0.6572,121936,0.4203,77984
基隆市,女,大學及專科,0.4022,52568,0.3766,49223
基隆市,女,碩士以上,0.0471,6151,0.3766,49223
基隆市,女,高中及以下,0.5508,71988,0.3766,49223
基隆市,男,大學及專科,0.362,49860,0.4434,61073
基隆市,男,碩士以上,0.0664,9151,0.4434,61073
基隆市,男,高中及以下,0.5715,78716,0.4434,61073
宜蘭縣,女,大學及專科,0.3868,60794,0.3631,57070
宜蘭縣,女,碩士以上,0.0482,7583,0.3631,57070
宜蘭縣,女,高中及以下,0.5649,88785,0.3631,57070
宜蘭縣,男,大學及專科,0.3361,56713,0.419,70700
宜蘭縣,男,碩士以上,0.0672,11345,0.419,70700
宜蘭縣,男,高中及以下,0.5966,100657,0.419,70700
屏東縣,女,大學及專科,0.3632,98596,0.3703,100528
屏東縣,女,碩士以上,0.0414,11243,0.3703,100528
屏東縣,女,高中及以下,0.5954,161622,0.3703,100528
屏東縣,男,大學及專科,0.306,92010,0.4343,130599
屏東縣,男,碩士以上,0.0511,15369,0.4343,130599
屏東縣,男,高中及以下,0.6429,193306,0.4343,130599
彰化縣,女,大學及專科,0.3989,166224,0.3754,156434
彰化縣,女,碩士以上,0.0456,19011,0.3754,156434
彰化縣,女,高中及以下,0.5555,231447,0.3754,156434
彰化縣,男,大學及專科,0.3388,156985,0.4283,198464
彰化縣,男,碩士以上,0.0617,28582,0.4283,198464
