縣市別,性別,年齡,婚姻狀況,教育程度,人口數
南投縣,女,15~19,未婚,大學及專科,0
南投縣,女,15~19,未婚,碩士以上,0
南投縣,女,15~19,未婚,高中及以下,9289
南投縣,女,15~19,非未婚,大學及專科,0
南投縣,女,15~19,非未婚,碩士以上,0
南投縣,女,15~19,非未婚,高中及以下,73
南投縣,女,20~29,未婚,大學及專科,13842
南投縣,女,20~29,未婚,碩士以上,831
南投縣,女,20~29,未婚,高中及以下,9803
南投縣,女,20~29,非未婚,大學及專科,1806
南投縣,女,20~29,非未婚,碩士以上,53
南投縣,女,20~29,非未婚,高中及以下,2761
南投縣,女,30~39,未婚,大學及專科,8673
南投縣,女,30~39,未婚,碩士以上,1272
南投縣,女,30~39,未婚,高中及以下,3118
南投縣,女,30~39,非未婚,大學及專科,8037
南投縣,女,30~39,非未婚,碩士以上,780
南投縣,女,30~39,非未婚,高中及以下,6485
南投縣,女,40~49,未婚,大學及專科,3830
南投縣,女,40~49,未婚,碩士以上,734
南投縣,女,40~49,未婚,高中及以下,2628
南投縣,女,40~49,非未婚,大學及專科,9250
南投縣,女,40~49,非未婚,碩士以上,1359
南投縣,女,40~49,非未婚,高中及以下,14956
南投縣,女,50~59,未婚,大學及專科,1632
南投縣,女,50~59,未婚,碩士以上,411
南投縣,女,50~59,未婚,高中及以下,2030
南投縣,女,50~59,非未婚,大學及專科,6444
南投縣,女,50~59,非未婚,碩士以上,1241
南投縣,女,50~59,非未婚,高中及以下,22747
南投縣,女,60~69,未婚,大學及專科,621
南投縣,女,60~69,未婚,碩士以上,86
南投縣,女,60~69,未婚,高中及以下,1129
南投縣,女,60~69,非未婚,大學及專科,3976
南投縣,女,60~69,非未婚,碩士以上,431
南投縣,女,60~69,非未婚,高中及以下,21893
南投縣,男,15~19,未婚,大學及專科,0
南投縣,男,15~19,未婚,碩士以上,0
南投縣,男,15~19,未婚,高中及以下,9981
南投縣,男,15~19,非未婚,大學及專科,0
南投縣,男,15~19,非未婚,碩士以上,0
南投縣,男,15~19,非未婚,高中及以下,16
南投縣,男,20~29,未婚,大學及專科,12052
南投縣,男,20~29,未婚,碩士以上,1099
南投縣,男,20~29,未婚,高中及以下,15429
南投縣,男,20~29,非未婚,大學及專科,946
南投縣,男,20~29,非未婚,碩士以上,64
南投縣,男,20~29,非未婚,高中及以下,2342
南投縣,男,30~39,未婚,大學及專科,9491
南投縣,男,30~39,未婚,碩士以上,1852
南投縣,男,30~39,未婚,高中及以下,7656
南投縣,男,30~39,非未婚,大學及專科,6354
南投縣,男,30~39,非未婚,碩士以上,1185
南投縣,男,30~39,非未婚,高中及以下,6876
南投縣,男,40~49,未婚,大學及專科,3708
南投縣,男,40~49,未婚,碩士以上,655
南投縣,男,40~49,未婚,高中及以下,6822
南投縣,男,40~49,非未婚,大學及專科,8250
南投縣,男,40~49,非未婚,碩士以上,2028
南投縣,男,40~49,非未婚,高中及以下,14116
南投縣,男,50~59,未婚,大學及專科,1023
南投縣,男,50~59,未婚,碩士以上,171
南投縣,男,50~59,未婚,高中及以下,3877
南投縣,男,50~59,非未婚,大學及專科,7692
南投縣,男,50~59,非未婚,碩士以上,1927
南投縣,男,50~59,非未婚,高中及以下,21949
南投縣,男,60~69,未婚,大學及專科,305
南投縣,男,60~69,未婚,碩士以上,52
南投縣,男,60~69,未婚,高中及以下,1725
南投縣,男,60~69,非未婚,大學及專科,6464
南投縣,男,60~69,非未婚,碩士以上,1056
南投縣,男,60~69,非未婚,高中及以下,23510
嘉義市,女,15~19,未婚,大學及專科,0
嘉義市,女,15~19,未婚,碩士以上,0
嘉義市,女,15~19,未婚,高中及以下,5765
嘉義市,女,15~19,非未婚,大學及專科,0
嘉義市,女,15~19,非未婚,碩士以上,0
嘉義市,女,15~19,非未婚,高中及以下,14
嘉義市,女,20~29,未婚,大學及專科,8938
嘉義市,女,20~29,未婚,碩士以上,773
嘉義市,女,20~29,未婚,高中及以下,5242
嘉義市,女,20~29,非未婚,大學及專科,950
嘉義市,女,20~29,非未婚,碩士以上,44
嘉義市,女,20~29,非未婚,高中及以下,906
嘉義市,女,30~39,未婚,大學及專科,5188
嘉義市,女,30~39,未婚,碩士以上,1065
嘉義市,女,30~39,未婚,高中及以下,1295
嘉義市,女,30~39,非未婚,大學及專科,5607
